"ESU","ESU_DPS","COMMON_POPULATION_NAME","BROOD_YEAR","Smoothed.Abundance"
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",1999,785.591174307297
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2000,753.963504871787
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2001,720.313470067116
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2002,692.285937142282
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2003,676.908011378572
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2004,642.661722781651
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2005,617.879156856797
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2006,589.704582118134
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2007,567.158615829271
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2008,544.961269543261
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2009,532.888345037858
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,475.972296343957
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,595.325722153679
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,523.555822332633
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,1141.49771257686
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,863.241296197428
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,1053.9651318618
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,546.480360094531
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,558.980771904907
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,267.434942545551
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,258.589097570802
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,245.736308771452
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",1999,239.864765171922
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2000,225.824371908934
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2001,213.769292652324
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2002,204.430246559332
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2003,194.080507982662
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2004,181.125539878501
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2005,172.712127030789
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2006,163.313034997632
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2007,159.143397062066
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2008,136.7833310327
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2009,122.668628241886
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2010,119.944244861382
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2011,72.285008304615
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2012,64.1510314391911
