"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2010,413,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2011,622,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2012,463,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2013,1568,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2014,794,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2015,1359,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2016,411,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2017,721,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2018,216,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2010,136,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2011,63,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2012,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2013,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2014,147,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2015,230,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2016,91,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2017,77,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River",2018,27,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2008,33,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2009,210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2010,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2011,62,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2012,35,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2013,91,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2014,185,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2015,219,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2016,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2017,295,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coast fall","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2018,515,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2010,593,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2011,428,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2012,288,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2013,812,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2014,764,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2015,2889,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2016,2539,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2017,1732,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2018,1643,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2007,37,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2008,59,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2009,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2010,46,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2011,172,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2012,81,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2013,107,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2014,55,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2015,31,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2016,28,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2017,60,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2018,57,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade spring","Kalama River - spring Chinook salmon","Chinook salmon","Spring","Kalama River",2019,52,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2010,1583,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2011,1672,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2012,1320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2015,3466,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2016,2211,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2017,1994,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2018,1422,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade fall","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2019,1498,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade late fall","Lewis River - late fall Chinook salmon","Chinook salmon","Late fall","Lewis River",2010,9294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade late fall","Lewis River - late fall Chinook salmon","Chinook salmon","Late fall","Lewis River",2011,8205,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade late fall","Lewis River - late fall Chinook salmon","Chinook salmon","Late fall","Lewis River",2012,8143,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade late fall","Lewis River - late fall Chinook salmon","Chinook salmon","Late fall","Lewis River",2013,17022,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade late fall","Lewis River - late fall Chinook salmon","Chinook salmon","Late fall","Lewis River",2014,20489,1,-99,-99,-99,-99,-99,-99,-99,-99
