"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"eps[1]",0.155767659462794,0.0304017526773451,0.590981989377862,-1.21140210748159,-0.152980926580809,0.235434619120583,0.521899304864604,1.1869754143392,377.877686667303,1.02056518370375
"eps[2]",-1.05702214690318,0.0359627772498328,0.61066294085366,-2.14658387660855,-1.43491652132769,-1.11740499786896,-0.740986887902325,0.305979326167886,288.334548909129,1.02640380584695
"eps[3]",-0.349113005202802,0.0341316854948476,0.58340605882017,-1.50241360909888,-0.688889549407947,-0.373174827217058,-0.0364568633294546,0.928069440624667,292.163796810135,1.00786854683801
"eps[4]",0.670414601924699,0.0420493023812409,0.630695261360356,-0.876751991821311,0.354129701325375,0.766795286634742,1.08683301101608,1.68205749885723,224.968413646473,1.02912439328092
"eps[5]",0.130952132090659,0.0282150144278073,0.563385727866019,-1.08023213314652,-0.170977012721589,0.156113010585304,0.451191674803323,1.24225866434222,398.704491782064,1.00292180611842
"eps[6]",-1.29902828011378,0.0619415035262426,0.735712491854605,-2.45236134049582,-1.80505753985632,-1.42410150449191,-0.888730146023916,0.42853134281968,141.075882074594,1.03951389843969
"eps[7]",1.46455286835097,0.0359151585889875,0.62880211298274,0.027784069972916,1.10838410761912,1.52649874494648,1.88945293039457,2.54645097335253,306.52959251399,1.01558751941282
"eps[8]",0.722568836441094,0.0456010765798431,0.633168728765541,-0.342951946980127,0.282712154901067,0.61711755152564,1.10221122198985,2.16280645804405,192.791873350492,1.02822908390174
"eps[9]",2.14089675973986,0.0475066270439394,0.704311340358443,0.552100154025567,1.73675768746457,2.21157512171728,2.61946385429489,3.32866616627705,219.796599375501,1.03158771940627
"eps[10]",-0.969921272245257,0.0941192022621193,0.878649677231647,-2.27798598457511,-1.60141806723046,-1.12176609586099,-0.471700090505626,1.12394732114747,87.1515333727454,1.05667212210965
"eps[11]",1.22875563840233,0.0295833647803726,0.602488406315576,-0.126460389874197,0.876818173121262,1.29392159673717,1.63634214438095,2.28999697978466,414.765143072079,1.01358606675171
"eps[12]",0.376349331413508,0.0239634235942975,0.562084956263677,-0.852762832751897,0.0826691054155948,0.38353151875519,0.674209460785324,1.52689088614304,550.181767778972,1.01235596403211
"eps[13]",-0.603758825620317,0.0331742924169343,0.583946051157307,-1.69354319093031,-0.951881200313034,-0.647168751989711,-0.291289118990655,0.70649043748313,309.843303913131,1.00334074506958
"eps[14]",-0.422987244954455,0.0283954256397002,0.566428306611967,-1.66526694301164,-0.73102645638409,-0.392061132445087,-0.07974494972975,0.710602455060283,397.917584073148,1.02090899291455
"eps[15]",-0.528957062856714,0.0222411661353607,0.558490476612893,-1.68129472278433,-0.849538342205963,-0.532170542114954,-0.209328153736703,0.632684397387936,630.545507080652,1.00412305725039
"eps[16]",-0.098124562166385,0.0194233739611229,0.557933809120167,-1.28524156007525,-0.389207985658931,-0.0945618004084325,0.211203683143289,1.06388340825642,825.117911393852,1.00598413188773
"eps[17]",0.295385832075644,0.0243556343244849,0.537842292416587,-0.854591178502768,0.0083748116145569,0.289503572214849,0.598105274952369,1.44403214746049,487.653121798496,1.00436564358038
"eps[18]",0.687372234890702,0.0174919651650141,0.535984162562499,-0.421542784116006,0.384049478324097,0.69533090197673,0.993290438146246,1.76022245585304,938.915928529138,1.00496094382164
"eps[19]",0.183307050004853,0.0353749517869032,0.573453704218546,-0.914475636999356,-0.160031241181649,0.129120922078317,0.493527938898646,1.4220711677142,262.787686514983,1.00496359670771
"eps[20]",0.558809487525961,0.0184409518387488,0.538096052174993,-0.541326707262529,0.254809094934537,0.543403833018468,0.853835107521746,1.71370817784346,851.437834026866,1.00971218924632
"eps[21]",0.56309722059252,0.0282781747781057,0.578327380768252,-0.69965126720079,0.249415954976408,0.610568273260018,0.904744460593807,1.62558742973306,418.258484911797,1.01143971755792
"eps[22]",-0.788185107942442,0.0307029629655763,0.593063712531761,-1.8641832980964,-1.16225432732593,-0.829213549246818,-0.467533495350873,0.508285948388028,373.114499448975,1.0119167199044
"eps[23]",-0.0969539379347641,0.0284136291508278,0.580285291068752,-1.43519459638114,-0.410497534535494,-0.00649125225278753,0.284362525864782,0.879230637610881,417.089934187919,1.02022219136766
"eps[24]",-1.03424697947488,0.0201499985589082,0.559729150669042,-2.17318123217141,-1.36967114698481,-1.03187213310979,-0.71558809283717,0.131925356127894,771.624151177658,1.01721592950984
"eps[25]",-0.843269574783999,0.0232328069687005,0.589877961636085,-2.10289364827628,-1.17144937744686,-0.817666753595135,-0.500918264997444,0.300817660759409,644.645526955883,1.00512807597289
"eps[26]",-0.45886173435098,0.0174516531132386,0.539929674866794,-1.60102521814617,-0.756769670582969,-0.435982400809232,-0.143261637926813,0.623775292817835,957.196827629513,1.00537567654984
"eps[27]",-0.107222116874951,0.0205473060962429,0.544529389803252,-1.26198083524732,-0.412610039526799,-0.0823628706084093,0.205749189045934,0.976237760836508,702.31649434888,1.01198643376674
"slope",0.0844839039592864,0.00858937828046919,0.0867941213720414,-0.083035811097258,0.0277986536673334,0.0850819966670112,0.141048199395947,0.251535734572827,102.107387081795,1.02840705805312
"N_0",561.874714725033,3.77465899426237,108.960216083447,368.409862464437,500.119040220562,552.344157233523,608.843409177372,822.794706535334,833.259867363256,1.00246197063507
"sigma_rn",0.46179909652958,0.00897107158858401,0.10908206467576,0.260702326146447,0.382480424515274,0.459834541353104,0.536255642347029,0.678898737271288,147.848885271544,1.04603297273265
"sigma_wn",0.205806138568686,0.0144914692436606,0.11207147187856,0.0320423180133107,0.113729283527166,0.20420575852444,0.281869670442522,0.431188540243499,59.8088308148729,1.11103210765763
"N[1]",561.874714725033,3.77465899426237,108.960216083447,368.409862464437,500.119040220562,552.344157233523,608.843409177372,822.794706535334,833.259867363256,1.00246197063507
"N[2]",667.82492084408,6.92679289459851,127.996135988617,412.876324224156,583.157453973048,683.226771756243,748.913802130382,917.73902832053,341.451726280145,1.02299795061142
"N[3]",442.194641058581,3.4319633172659,86.7707552140381,310.963412365225,389.435886346736,421.847009286361,480.914523976398,659.258453539805,639.236375408935,1.01750603973066
"N[4]",411.570446544768,9.05857578563941,98.208346555771,285.777330857651,348.337997373328,383.199658845403,453.416544762711,675.391434183791,117.537636761604,1.04422808753093
"N[5]",613.4574869512,3.27321946058657,106.225293052832,407.281366675054,549.242575082049,616.365396076669,667.58499885692,849.502342980505,1053.18733196425,1.00182903763165
"N[6]",714.392151219029,5.90080039270345,131.360397952535,460.203794581057,626.729568589674,722.710836385048,797.61657860925,970.051671954682,495.572345113464,1.01333024167786
"N[7]",425.8943079236,12.3649609113007,136.992438285497,281.034083031739,320.49439967576,384.998429454158,492.607571831966,780.038937902404,122.746098143951,1.0480731184758
"N[8]",892.09656516972,4.23454593472376,165.554135343148,596.585084436246,793.573840643935,883.470716575495,964.474686755443,1294.9041448738,1528.50326299498,0.999382423223728
"N[9]",1317.40662108492,16.0731460046033,266.016217224304,941.463837267524,1140.76667154477,1253.32955378728,1447.5899942122,1994.8373235073,273.914137115684,1.02600179363026
