"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2004,182,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2005,304,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2006,293,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2007,146,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2008,86,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2009,71,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2010,76,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2011,83,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2012,212,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2013,46,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2014,21,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2015,65,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2016,135,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2017,149,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2018,127,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Dungeness River - summer Chinook salmon","Chinook","-","-",2019,173,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2009,14,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2010,33,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2011,26,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2012,141,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2013,105,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2014,96,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2015,165,1,-99,-99,-99,-99,-99,-99,-99,-99
"Puget Sound Chinook","-","Elwha River - fall Chinook salmon","Chinook","-","-",2016,85,1,-99,-99,-99,-99,-99,-99,-99,-99
