"Stock Number","Population Name","Year","Abundance Quantity","Production Type","Calculation Type","Report Types"
1620,"Lewis River - late fall Chinook salmon",2016,9311,"Natural","Expanded","SCoRE,SOS"
1620,"Lewis River - late fall Chinook salmon",2017,7149,"Natural","Expanded","SCoRE,SOS"
1620,"Lewis River - late fall Chinook salmon",2018,4671,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2010,2550,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2011,2745,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2012,1553,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2013,3477,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2014,2923,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2015,4186,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2016,2878,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2017,2924,"Natural","Expanded","SCoRE,SOS"
1557,"Lower Cowlitz River - fall Chinook salmon",2018,3002,"Natural","Expanded","SCoRE,SOS"
9996,"Lower Gorge Tributaries - fall Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2010,156,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2011,94,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2012,21,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2013,128,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2014,34,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2015,80,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2016,87,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2017,17,"Natural","Expanded","SCoRE,SOS"
1525,"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",2018,6,"Natural","Expanded","SCoRE,SOS"
1600,"North Fork Lewis River - spring Chinook salmon",NA,NA,"Natural",NA,"SCoRE,SOS"
