"COMMON_POPULATION_NAME","WDFW.Name","Stock.Number"
"East Fork Lewis River - winter Steelhead","East Fork Lewis Winter Steelhead",6770
"Kalama River - summer Steelhead","Kalama Summer Steelhead",6735
"Kalama River - winter Steelhead","Kalama Winter Steelhead",6742
"Lower Cowlitz River - winter Steelhead","Lower Cowlitz Winter Steelhead",6701
"Lower Gorge Tributaries - winter Steelhead","Lower Gorge (Columbia) Winter Steelhead",6795
"North Fork Lewis River - summer Steelhead","North Fork Lewis Summer Steelhead",6756
"North Fork Lewis River - winter Steelhead","North Fork Lewis Winter Steelhead",6749
"North Fork Toutle River - winter Steelhead","North Fork Toutle Winter Steelhead",6714
"Salmon Creek - winter Steelhead","Salmon Creek Winter Steelhead",6777
"South Fork Toutle River - winter Steelhead","South Fork Toutle Winter Steelhead",6721
"Tilton River - winter Steelhead","Tilton Winter Steelhead",6704
"Upper Cowlitz River - winter Steelhead","Upper Cowlitz and Cispus Winter Steelhead",6702
"Upper Gorge Tributaries - winter Steelhead","Upper Gorge (Columbia) Winter Steelhead",6810
"Washougal River - summer Steelhead","Washougal Summer Steelhead",6784
"Washougal River - winter Steelhead","Washougal Winter Steelhead",6791
"Wind River - summer Steelhead","Wenatchee Summer Steelhead",6896
"Klickitat River - summer and winter Steelhead","Klickitat Summer and Winter Steelhead",6830
"Naches River - summer Steelhead","Naches Summer Steelhead",6892
"Rock Creek - summer Steelhead","Joseph Creek Summer Steelhead",6884
"Satus Creek - summer Steelhead","Satus Creek Summer Steelhead",6888
"Toppenish Creek - summer Steelhead","Toppenish Creek Summer Steelhead",6890
"Touchet River - summer Steelhead","Touchet Summer Steelhead",6861
"Walla Walla River - summer Steelhead","Walla Walla Summer Steelhead",6854
"Yakima River Upper Mainstem - summer Steelhead","Wind River (Upper Gorge) Summer Steelhead",6805
"White Salmon River - summer Steelhead","Salmon Creek Winter Steelhead",6777
"Baker River - summer and winter Steelhead","Klickitat Summer and Winter Steelhead",6830
"Canyon Creek - summer Steelhead","Asotin Creek Summer Steelhead",6875
"Cedar River - winter Steelhead","Lower Cowlitz Winter Steelhead",6701
"Deer Creek - summer Steelhead","Joseph Creek Summer Steelhead",6884
"Drayton Harbor Tributaries - winter Steelhead","North Fork Toutle Winter Steelhead",6714
"Dungeness River - summer and winter Steelhead","Klickitat Summer and Winter Steelhead",6830
"East Hood Canal Tributaries - winter Steelhead","East Fork Lewis Winter Steelhead",6770
"East Kitsap Peninsula Tributaries - winter Steelhead","East Fork Lewis Winter Steelhead",6770
"Elwha River - winter Steelhead","Lower Cowlitz Winter Steelhead",6701
"Green River - winter Steelhead","Lower Cowlitz Winter Steelhead",6701
"Nisqually River - winter Steelhead","East Fork Lewis Winter Steelhead",6770
"Nookachamps Creek - winter Steelhead","Salmon Creek Winter Steelhead",6777
"Nooksack River - winter Steelhead","North Fork Lewis Winter Steelhead",6749
"North Fork Skykomish River - summer Steelhead","North Fork Lewis Summer Steelhead",6756
"North Lake Washington and Lake Sammamish - winter Steelhead","North Fork Lewis Winter Steelhead",6749
"Pilchuck River - winter Steelhead","Salmon Creek Winter Steelhead",6777
"Puyallup River/Carbon River - winter Steelhead","Salmon Creek Winter Steelhead",6777
"Samish River and Bellingham Bay Tributaries - winter Steelhead","Upper Cowlitz and Cispus Winter Steelhead",6702
"Sauk River - summer and winter Steelhead","Klickitat Summer and Winter Steelhead",6830
"Sequim/Discovery Bays Tributaries - winter Steelhead","South Fork Toutle Winter Steelhead",6721
"Skagit River - summer and winter Steelhead","Klickitat Summer and Winter Steelhead",6830
"Skokomish River - winter Steelhead","Salmon Creek Winter Steelhead",6777
"Snohomish/Skykomish Rivers - winter Steelhead","Elochoman/Skamokawa Winter Steelhead",6668
"Snoqualmie River - winter Steelhead","Salmon Creek Winter Steelhead",6777
"South Fork Nooksack River - summer Steelhead","South Fork Toutle Winter Steelhead",6721
"South Hood Canal Tributaries - winter Steelhead","South Fork Toutle Winter Steelhead",6721
"South Puget Sound Tributaries - winter Steelhead","South Fork Toutle Winter Steelhead",6721
"Stillaguamish River - winter Steelhead","Salmon Creek Winter Steelhead",6777
"Strait of Juan de Fuca Tributaries - winter Steelhead","Strait of Juan de Fuca Summer Chum",2500
"Tolt River - summer Steelhead","Touchet Summer Steelhead",6861
"West Hood Canal Tributaries - winter Steelhead","North Fork Toutle Winter Steelhead",6714
"White River - winter Steelhead","Coweeman Winter Steelhead",6707
"Asotin Creek - summer Steelhead","Asotin Creek Summer Steelhead",6875
"Joseph Creek - summer Steelhead","Joseph Creek Summer Steelhead",6884
"Tucannon River - summer Steelhead","Tucannon Summer Steelhead",6868
"Entiat River - summer Steelhead","Entiat Summer Steelhead",6903
"Methow River - summer Steelhead","Methow Summer Steelhead",6912
"Okanogan River - summer Steelhead","Okanogan Summer Steelhead",6920
"Wenatchee River - summer Steelhead","Wenatchee Summer Steelhead",6896
