"ESU_DPS","COMMONPOPNAME2","final_abundance_data_type.2024","minyr.2024","maxyr.2024","final_abundance_data_type.2022","minyr.2022","maxyr.2022","Updates"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Asotin Creek - spring Chinook salmon","NOSAIJ",1992,2016,"NOSAIJ",1992,2016,"not updated"
"Salmon, Chinook (Snake River spring/summer-run ESU)","Tucannon River - spring Chinook salmon","NOSAIJ",1992,2023,"NOSAIJ",1992,2021,""
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Entiat River - spring Chinook salmon","NOSAIJ",1999,2023,"NOSAIJ",1999,2020,""
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Methow River - spring Chinook salmon","NOSAIJ",1999,2023,"NOSAIJ",1999,2022,""
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Wenatchee River - spring Chinook salmon","NOSAIJ",1999,2023,"NOSAIJ",1999,2021,""
"Salmon, chum (Columbia River ESU)","Grays and Chinook Rivers - fall Chum salmon","NOSAEJ",2001,2023,"NOSAEJ",2001,2020,""
"Salmon, chum (Columbia River ESU)","Lower Gorge Tributaries - fall Chum salmon","NOSAEJ",2000,2023,"NOSAEJ",2000,2019,""
"Salmon, chum (Columbia River ESU)","Upper Gorge Tributaries - fall Chum salmon","NOSAEJ",1999,2023,"NOSAEJ",1999,2020,""
"Salmon, chum (Columbia River ESU)","Washougal River - fall Chum salmon","NOSAEJ",2002,2022,"NOSAEJ",2002,2020,""
"Salmon, chum (Hood Canal summer-run ESU)","Hood Canal - summer chum salmon","NOSAEJ",1999,2023,"NOSAIJ",1999,2020,""
"Salmon, chum (Hood Canal summer-run ESU)","Strait of Juan de Fuca - summer chum salmon","NOSAEJ",1999,2023,"NOSAIJ",1999,2021,""
"Salmon, coho (Lower Columbia River ESU)","Coweeman River - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","East Fork Lewis River - early and late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Elochoman River - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Grays and Chinook Rivers - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Kalama River - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Lower Cowlitz River - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Lower Gorge Tributaries - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Mill, Abernathy, and Germany Creeks - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","North Fork Lewis River - early and late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","North Fork Toutle River - early and late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Salmon Creek - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","South Fork Toutle River - early and late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, coho (Lower Columbia River ESU)","Tilton River - early and late Coho salmon","NOSAEJ",2005,2023,"NOSAEJ",2005,2021,""
"Salmon, coho (Lower Columbia River ESU)","Upper Cowlitz River - early and late Coho salmon","NOSAEJ",2005,2023,"NOSAEJ",2005,2021,""
"Salmon, coho (Lower Columbia River ESU)","Washougal River - late Coho salmon","NOSAEJ",2010,2023,"NOSAEJ",2010,2021,""
"Salmon, sockeye (Ozette Lake ESU)","Ozette Lake - sockeye salmon","TSAIJ",1999,2019,"TSAIJ",1999,2019,"not updated"
"Steelhead (Lower Columbia River DPS)","Coweeman River - winter Steelhead","TSAEJ",1998,2023,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","East Fork Lewis River - summer Steelhead","NOSAIJ",1998,2022,"NOSAIJ",1998,2020,""
"Steelhead (Lower Columbia River DPS)","East Fork Lewis River - winter Steelhead","TSAEJ",1998,2023,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Kalama River - summer Steelhead","NOSAIJ",1998,2024,"NOSAIJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Kalama River - winter Steelhead","NOSAEJ",2007,2024,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Lower Cowlitz River - winter Steelhead","NOSAEJ",2013,2022,"NOSAEJ",2013,2021,""
"Steelhead (Lower Columbia River DPS)","Lower Gorge Tributaries - winter Steelhead","TSAEJ",2013,2022,NA,NA,NA,NA
"Steelhead (Lower Columbia River DPS)","North Fork Toutle River - winter Steelhead","TSAEJ",1998,2022,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","South Fork Toutle River - winter Steelhead","TSAEJ",1998,2023,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Tilton River - winter Steelhead","NOSAEJ",1999,2023,"NOSAEJ",1999,2020,""
"Steelhead (Lower Columbia River DPS)","Upper Cowlitz River - winter Steelhead","NOSAEJ",1998,2023,"NOSAEJ",1998,2020,""
"Steelhead (Lower Columbia River DPS)","Upper Gorge Tributaries - winter Steelhead","NOSAEJ",2000,2023,"TSAEJ",2000,2021,""
"Steelhead (Lower Columbia River DPS)","Washougal River - summer Steelhead","NOSAIJ",1998,2022,"NOSAIJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Washougal River - winter Steelhead","TSAEJ",1998,2023,"TSAEJ",1998,2021,""
"Steelhead (Lower Columbia River DPS)","Wind River - summer Steelhead","NOSAEJ",1998,2023,"NOSAEJ",1998,2021,""
"Steelhead (Middle Columbia River DPS)","Klickitat River - summer and winter Steelhead","NOSAIJ",2006,2024,"NOSAIJ",2006,2019,""
"Steelhead (Middle Columbia River DPS)","Naches River - summer Steelhead","NOSAIJ",1999,2023,"NOSAIJ",1999,2018,""
"Steelhead (Middle Columbia River DPS)","Rock Creek - summer Steelhead","NOSAIJ",2011,2019,"NOSAIJ",2011,2019,"not updated"
"Steelhead (Middle Columbia River DPS)","Satus Creek - summer Steelhead","NOSAIJ",1999,2023,"NOSAIJ",1999,2018,""
"Steelhead (Middle Columbia River DPS)","Toppenish Creek - summer Steelhead","NOSAIJ",1999,2023,"NOSAIJ",1999,2018,""
"Steelhead (Middle Columbia River DPS)","Touchet River - summer Steelhead","NOSAIJ",1999,2023,"NOSAIJ",1999,2021,""
"Steelhead (Middle Columbia River DPS)","Walla Walla River - summer Steelhead","NOSAIJ",1999,2020,"NOSAIJ",1999,2020,"not updated"
"Steelhead (Middle Columbia River DPS)","Yakima River Upper Mainstem - summer Steelhead","NOSAIJ",1999,2023,"NOSAIJ",1999,2018,""
"Steelhead (Puget Sound DPS)","Dungeness River - summer and winter Steelhead","TSAIJ",2011,2023,"TSAIJ",2011,2021,""
"Steelhead (Puget Sound DPS)","Elwha River - winter Steelhead","NOSAIJ",2019,2023,"NOSAIJ",2013,2021,""
"Steelhead (Puget Sound DPS)","Nisqually River - winter Steelhead","NOSAIJ",2007,2023,"NOSAIJ",2007,2020,""
"Steelhead (Puget Sound DPS)","Nooksack River - winter Steelhead","NOSAIJ",2010,2022,"NOSAIJ",2010,2018,""
"Steelhead (Puget Sound DPS)","Pilchuck River - winter Steelhead","TSAIJ",2007,2024,"TSAIJ",2007,2021,""
"Steelhead (Puget Sound DPS)","Samish River and Bellingham Bay Tributaries - winter Steelhead","TSAIJ",2007,2023,"TSAIJ",2007,2018,""
"Steelhead (Puget Sound DPS)","Skagit River - summer and winter Steelhead","TSAIJ",2007,2022,"TSAIJ",2007,2020,""
"Steelhead (Puget Sound DPS)","Snohomish/Skykomish Rivers - winter Steelhead","TSAIJ",2010,2024,"TSAIJ",2010,2021,""
"Steelhead (Puget Sound DPS)","Snoqualmie River - winter Steelhead","TSAIJ",2007,2024,"TSAIJ",2007,2021,""
"Steelhead (Puget Sound DPS)","South Hood Canal Tributaries - winter Steelhead","TSAEJ",2007,2023,"TSAIJ",2007,2020,""
"Steelhead (Puget Sound DPS)","Tolt River - summer Steelhead","TSAIJ",2007,2024,"TSAIJ",2007,2021,""
"Steelhead (Puget Sound DPS)","White River - winter Steelhead","NOSAIJ",2007,2024,"NOSAIJ",2007,2018,""
"Steelhead (Snake River Basin DPS)","Joseph Creek - summer Steelhead","NOSAIJ",2011,2023,"NOSAIJ",2011,2019,""
"Steelhead (Snake River Basin DPS)","Tucannon River - summer Steelhead","NOSAIJ",2010,2023,"NOSAIJ",2010,2022,""
"Steelhead (Upper Columbia River DPS)","Entiat River - summer Steelhead","NOSAIJ",1997,2023,"NOSAIJ",1997,2021,""
"Steelhead (Upper Columbia River DPS)","Methow River - summer Steelhead","NOSAIJ",1997,2023,"NOSAIJ",1997,2021,""
"Steelhead (Upper Columbia River DPS)","Okanogan River - summer Steelhead","NOSAIJ",1997,2023,"NOSAIJ",1997,2020,""
"Steelhead (Upper Columbia River DPS)","Wenatchee River - summer Steelhead","NOSAIJ",1997,2023,"NOSAIJ",1997,2021,""
"Steelhead (Snake River Basin DPS)","Asotin Creek - summer Steelhead",NA,NA,NA,"NOSAIJ",2010,2019,NA
