"ESU_DPS","COMMONPOPNAME2","final_abundance_data_type","minyr","maxyr"
"Salmon, Chinook (Puget Sound ESU)","Dungeness River - summer Chinook salmon","NOSAEJ",2001,2023
"Salmon, Chinook (Puget Sound ESU)","Elwha River - fall Chinook salmon","NOSAEJ",2009,2023
"Salmon, Chinook (Puget Sound ESU)","Green River - fall Chinook salmon","NOSAEJ",2003,2023
"Salmon, Chinook (Puget Sound ESU)","Lower Sauk River - summer Chinook salmon","TSAIJ",1999,2022
"Salmon, Chinook (Puget Sound ESU)","Lower Skagit River - fall Chinook salmon","TSAIJ",1999,2022
"Salmon, Chinook (Puget Sound ESU)","Nisqually River - fall Chinook salmon","NOSAEJ",2004,2023
"Salmon, Chinook (Puget Sound ESU)","North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon","NOSAIJ",1999,2016
"Salmon, Chinook (Puget Sound ESU)","North Fork Stillaguamish River - summer Chinook salmon","NOSAIJ",2008,2023
"Salmon, Chinook (Puget Sound ESU)","Skokomish River - fall Chinook salmon","NOSAEJ",1999,2023
"Salmon, Chinook (Puget Sound ESU)","Skykomish River - summer Chinook salmon","NOSAIJ",1999,2023
"Salmon, Chinook (Puget Sound ESU)","Snoqualmie River - fall Chinook salmon","NOSAEJ",1999,2023
"Salmon, Chinook (Puget Sound ESU)","South Fork Nooksack River - spring Chinook salmon","NOSAIJ",1999,2016
"Salmon, Chinook (Puget Sound ESU)","South Fork Stillaguamish River - fall Chinook salmon","NOSAEJ",1999,2023
"Salmon, Chinook (Puget Sound ESU)","Suiattle River - spring Chinook salmon","TSAIJ",1999,2022
"Salmon, Chinook (Puget Sound ESU)","Upper Sauk River - spring Chinook salmon","TSAIJ",1999,2022
"Salmon, Chinook (Puget Sound ESU)","Upper Skagit River - summer Chinook salmon","TSAIJ",1999,2022
"Salmon, Chinook (Puget Sound ESU)","White River - spring Chinook salmon","NOSAIJ",1999,2023
"Salmon, Chinook (Snake River fall-run ESU)","Snake River - fall Chinook salmon","NOSAIJ",1992,2023
"Salmon, Chinook (Snake River spring/summer-run ESU)","Asotin Creek - spring Chinook salmon","NOSAIJ",1992,2016
"Salmon, Chinook (Snake River spring/summer-run ESU)","Tucannon River - spring Chinook salmon","NOSAIJ",1992,2023
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Entiat River - spring Chinook salmon","NOSAIJ",1999,2023
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Methow River - spring Chinook salmon","NOSAIJ",1999,2023
"Salmon, Chinook (Upper Columbia River spring-run ESU)","Wenatchee River - spring Chinook salmon","NOSAIJ",1999,2023
"Salmon, chum (Columbia River ESU)","Grays and Chinook Rivers - fall Chum salmon","NOSAEJ",2001,2023
"Salmon, chum (Columbia River ESU)","Lower Gorge Tributaries - fall Chum salmon","NOSAEJ",2000,2023
"Salmon, chum (Columbia River ESU)","Upper Gorge Tributaries - fall Chum salmon","NOSAEJ",1999,2023
"Salmon, chum (Columbia River ESU)","Washougal River - fall Chum salmon","NOSAEJ",2002,2022
"Salmon, chum (Hood Canal summer-run ESU)","Hood Canal - summer chum salmon","NOSAEJ",1999,2023
"Salmon, chum (Hood Canal summer-run ESU)","Strait of Juan de Fuca - summer chum salmon","NOSAEJ",1999,2023
"Salmon, coho (Lower Columbia River ESU)","Coweeman River - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","East Fork Lewis River - early and late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Elochoman River - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Grays and Chinook Rivers - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Kalama River - late Coho salmon","NOSAEJ",2010,2023
"Salmon, coho (Lower Columbia River ESU)","Lower Cowlitz River - late Coho salmon","NOSAEJ",2010,2023
