"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","SASI_STOCK_NUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","METHODNUMBER","BESTVALUE","NOSAIJ","NOSAIJ_SDSID","NOSAIJLOWERLIMIT","NOSAIJUPPERLIMIT","NOSAIJALPHA","NOSAEJ","NOSAEJ_SDSID","NOSAEJLOWERLIMIT","NOSAEJUPPERLIMIT","NOSAEJALPHA","PHOSIJ","PHOSIJLOWERLIMIT","PHOSIJUPPERLIMIT","PHOSIJALPHA","PHOSEJ","PHOSEJLOWERLIMIT","PHOSEJUPPERLIMIT","PHOSEJALPHA","TSAIJ","TSAIJ_SDSID","TSAIJLOWERLIMIT","TSAIJUPPERLIMIT","TSAIJALPHA","TSAEJ","TSAEJ_SDSID","TSAEJLOWERLIMIT","TSAEJUPPERLIMIT","TSAEJALPHA","AGE2PROP","AGE2PROPLOWERLIMIT","AGE2PROPUPPERLIMIT","AGE3PROP","AGE3PROPLOWERLIMIT","AGE3PROPUPPERLIMIT","AGE4PROP","AGE4PROPLOWERLIMIT","AGE4PROPUPPERLIMIT","AGE5PROP","AGE5PROPLOWERLIMIT","AGE5PROPUPPERLIMIT","AGE6PROP","AGE6PROPLOWERLIMIT","AGE6PROPUPPERLIMIT","AGE7PROP","AGE7PROPLOWERLIMIT","AGE7PROPUPPERLIMIT","AGE8PROP","AGE8PROPLOWERLIMIT","AGE8PROPUPPERLIMIT","AGE9PROP","AGE9PROPLOWERLIMIT","AGE9PROPUPPERLIMIT","AGE10PROP","AGE10PROPLOWERLIMIT","AGE10PROPUPPERLIMIT","AGE11PLUSPROP","AGE11PLUSPROPLOWERLIMIT","AGE11PLUSPROPUPPERLIMIT","AGEPROPALPHA","OTHERDATASOURCES","COMMENTS","DATASTATUS","STOCK_ID","ESU_DPS_COMMONNAME","USECA","Notes","final_abundance_data_type","final_abundance","datasource","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,879,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",744,1066,0.05,NA,NA,NA,NA,0.045,0.021,0.087,0.05,NA,NA,NA,NA,NA,922,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",786,1112,0.05,NA,NA,NA,0.433,0.386,0.482,0.552,0.504,0.6,0.013,0.004,0.031,0.001,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",879,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2021,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,596,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",539,674,0.05,NA,NA,NA,NA,0.08,0.048,0.125,0.05,NA,NA,NA,NA,NA,648,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",577,750,0.05,NA,NA,NA,0.25,0.209,0.295,0.726,0.68,0.769,0.023,0.01,0.043,0.001,0,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"","","Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",596,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2022,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,443,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",400,502,0.05,NA,NA,NA,NA,0.099,0.053,0.171,0.05,NA,NA,NA,NA,NA,494,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",439,571,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",443,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2023,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,440,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",369,545,0.05,NA,NA,NA,NA,0.074,0.026,0.162,0.05,NA,NA,NA,NA,NA,478,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",401,594,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",440,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2009,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,268,"b2caabf4-5a11-4492-9f16-bd15012dfc56",218,341,0.05,NA,NA,NA,NA,0.798,0.731,0.834,0.05,NA,NA,NA,NA,NA,1307,"1456b8e5-c1ac-47b7-a956-1000e86be8fc",1239,1426,0.05,NA,NA,NA,0.065,0.007,0.177,0.915,0.792,0.985,0.017,0,0.084,0.003,0,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",268,"Coordinated_Assessments","b2caabf4-5a11-4492-9f16-bd15012dfc56"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2010,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,167,"9766aa81-890c-4fac-b1fb-f577424cb6c6",128,206,0.05,NA,NA,NA,NA,0.867,0.838,0.896,0.05,NA,NA,NA,NA,NA,1250,"c21f7949-69ec-49c2-92e5-5d2b2459e281",1134,1448,0.05,NA,NA,NA,0.522,0.326,0.711,0.38,0.205,0.577,0.089,0.013,0.225,0.009,0,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",167,"Coordinated_Assessments","9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2011,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,73,"9766aa81-890c-4fac-b1fb-f577424cb6c6",50,98,0.05,NA,NA,NA,NA,0.932,0.912,0.952,0.05,NA,NA,NA,NA,NA,1074,"c21f7949-69ec-49c2-92e5-5d2b2459e281",955,1261,0.05,NA,NA,NA,0.156,0,0.438,0.752,0.454,0.972,0.074,0,0.282,0.018,0,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",73,"Coordinated_Assessments","9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2012,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,36,"9766aa81-890c-4fac-b1fb-f577424cb6c6",24,73,0.05,NA,NA,NA,NA,0.813,0.673,0.883,0.05,NA,NA,NA,NA,NA,197,"c21f7949-69ec-49c2-92e5-5d2b2459e281",149,279,0.05,NA,NA,NA,0.396,0.235,0.568,0.55,0.377,0.714,0.044,0.001,0.153,0.01,0,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",36,"Coordinated_Assessments","9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2013,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,70,"9766aa81-890c-4fac-b1fb-f577424cb6c6",41,141,0.05,NA,NA,NA,NA,0.822,0.713,0.888,0.05,NA,NA,NA,NA,NA,396,"c21f7949-69ec-49c2-92e5-5d2b2459e281",282,594,0.05,NA,NA,NA,0.407,0.25,0.574,0.548,0.377,0.714,0.037,0,0.156,0.008,0,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",70,"Coordinated_Assessments","9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2014,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,168,"9766aa81-890c-4fac-b1fb-f577424cb6c6",125,209,0.05,NA,NA,NA,NA,0.753,0.686,0.818,0.05,NA,NA,NA,NA,NA,673,"c21f7949-69ec-49c2-92e5-5d2b2459e281",534,903,0.05,NA,NA,NA,0.369,0.246,0.501,0.585,0.451,0.714,0.039,0,0.145,0.007,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",168,"Coordinated_Assessments","9766aa81-890c-4fac-b1fb-f577424cb6c6"
