"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2010,436,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2011,579,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2012,425,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2013,1464,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2014,774,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2015,1331,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2016,361,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2017,759,"NOSAEJ",1,"f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2018,229,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2019,312,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2020,879,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2021,596,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2022,443,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2023,440,"NOSAEJ",1,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2009,268,"NOSAEJ",1,"b2caabf4-5a11-4492-9f16-bd15012dfc56"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2010,167,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2011,73,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2012,36,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2013,70,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2014,168,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2015,222,"NOSAEJ",1,"9766aa81-890c-4fac-b1fb-f577424cb6c6"
