"ESU_DPS","Lowest Growth Rate (% change per year)","25th Percentile Growth Rate (% change per year)","Median Growth Rate (% change per year)","75th Percentile Growth Rate (% change per year)","Highest Growth Rate (% change per year)","Proportion of Populations with 5-yr Geomean above Goal","Lowest 5-yr Geomean Abundance as Proportion of Goal","25th Percentile 5-yr Geomean Abundance as Proportion of Goal","Median 5-yr Geomean Abundance as Proportion of Goal","75th Percentile 5-yr Geomean Abundance as Proportion of Goal","Highest 5-yr Geomean Abundance as Proportion of Goal","pops_with_usable_data","FutureStatus (see methods)","OverallRecoveryCategory","total_missing_pops","proportion_missing_pops"
"Lower Columbia River Chinook ESU",-1.98997291789962,-0.80527152199574,-0.221296074504573,0.135342530069144,1.02891532921966,0.3125,0.00746019725324661,0.0858632759113222,0.398650775035646,1.28145560358001,4.15729441681441,16,39.425926200662,2,3,0.157894736842105
"Puget Sound Chinook ESU",1.91027804061202,2.30269035436967,2.47276649081924,2.65199888177123,3.61625537180871,0,0.0033467005016093,0.0212782717397223,0.0470024205294479,0.0947048582733089,0.720246808713867,18,5.31083158636018,1,3,0.142857142857143
"Snake River Fall Chinook ESU",7.03245692650383,7.03245692650383,7.03245692650383,7.03245692650383,7.03245692650383,1,1.87213491977733,1.87213491977733,1.87213491977733,1.87213491977733,1.87213491977733,1,262.975093236327,4,0,0
"Snake River Spring/Summer Chinook ESU",-5.56175574822937,-4.97462681002879,-4.36303416606985,-3.7514415221109,-3.16431258391032,0,0.00209777977716053,0.0075581163089563,0.0132459668629102,0.0189338174168641,0.0243941539486599,2,1.05977241428576,1,0,0
"Upper Columbia River Spring Chinook ESU",5.18158828875538,5.26908661882822,5.3602307126541,5.62986452390165,5.8887129826993,0,0.149490144935688,0.191637147193875,0.235540274546154,0.237878491461354,0.240123179699946,3,30.5807929044741,2,0,0
"Columbia River Chum ESU",4.99520931597245,5.1376924047435,5.223013260098,5.26307472877168,5.27521078390201,0.75,0.390437426367252,1.60137021581956,2.56305296062387,3.90701659314438,6.21891833921932,4,330.606396967842,4,6,0.6
"Hood Canal Summer Chum ESU",7.98203191435557,8.73489218078417,9.51912162498063,10.3033510691771,11.0562113356057,0,0.731544862827663,0.790087556507233,0.851069529090119,0.912051501673004,0.970594195352574,2,134.095684522047,4,0,0
"Lower Columbia River Coho ESU",1.89002718613525,2.58821226900294,2.8517137354553,3.18930258046122,3.93315003456346,0.615384615384615,0.415896632530769,0.674983186354056,1.1476273667209,1.26276346210596,9.36188704474388,13,132.086538169837,4,1,0.0714285714285714
"Ozette Lake Sockeye ESU",0.124811100672462,0.124811100672462,0.124811100672462,0.124811100672462,0.124811100672462,0,0.0206540150457337,0.0206540150457337,0.0206540150457337,0.0206540150457337,0.0206540150457337,1,2.07832297094549,1,0,0
"Lower Columbia River Steelhead DPS",0.0961372615498663,0.240273581519002,0.309989388473597,0.470804857928542,0.697421462302148,0.0714285714285714,0.309835497090961,0.540319507681853,0.613175238090775,0.76944913538004,1.0075212563974,14,62.2738233986755,3,1,0.0666666666666667
"Middle Columbia River Steelhead DPS",-3.86075378442047,-3.68654982628064,-3.52120041401968,-3.37983229884992,-2.75933451552989,0.125,0.0712265990225497,0.210611198240843,0.239982687167972,0.357306830149589,1.04717318901579,8,20.0603898190953,1,1,0.111111111111111
"Puget Sound Steelhead DPS",-1.83245936593292,-1.42935092403381,-1.19789012207502,-0.995153236494795,-0.750613227409984,0,0.0112362022035532,0.0356442881204605,0.0466050247154676,0.0971358558551054,0.462106407101703,12,4.38797189192712,1,18,0.6
"Snake River Basin Steelhead DPS",-11.3900533351997,-10.7814793193923,-10.1475480529263,-9.51361678646027,-8.90504277065288,0,0.399885715410701,0.520689921223934,0.646527635612717,0.772365350001501,0.893169555814734,2,37.864895086752,2,1,0.333333333333333
"Upper Columbia River Steelhead DPS",5.73837906165582,6.41424480583299,7.04437881859029,7.55750618683706,7.8963927948239,0,0.328076205905606,0.376116622166475,0.427251635978719,0.578226856920506,0.913807069714458,4,60.0486247843373,3,0,0
