"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2010,436,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2011,579,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2012,425,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2013,1464,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2014,774,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2015,1331,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2016,361,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2017,759,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2018,229,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2019,312,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2020,879,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2021,596,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2022,443,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Coweeman River - fall Chinook salmon","Chinook salmon","Fall","Coweeman River",2023,440,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2009,268,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2010,167,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2011,73,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2012,36,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2013,70,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2014,168,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2015,222,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2016,77,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2017,74,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2018,34,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2019,39,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2020,86,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2021,103,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2022,118,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall","Elochoman River\Skamokawa Creek",2023,224,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2008,63,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2009,190,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2010,62,1,-99,-99,-99,-99,-99,-99,-99,-99
