"COMMON_POPULATION_NAME","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","ESU_DPS"
"Coweeman River - fall Chinook salmon",-0.129382625729919,-0.0392705226566505,-0.00131067822408864,0.0358444374666447,0.12056471528059,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Elochoman River - fall Chinook salmon",-0.144417049532343,-0.0476779995048175,-0.00578368861777349,0.0310621339540569,0.109726336920798,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Grays and Chinook Rivers - fall Chinook salmon",-0.102008520267443,-0.0248204799591112,0.0130196459847581,0.0540979432513044,0.151290819988993,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - fall Chinook salmon",-0.0931357040067171,-0.0190326595404939,0.019463543250124,0.063128665021405,0.171769006657371,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - spring Chinook salmon",-0.108153946068954,-0.0333298719587823,0.00143149646223485,0.0372510802475162,0.120337299874269,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - fall Chinook salmon",-0.116128166701192,-0.0345618540982207,0.00153257624669976,0.0388219812135271,0.124741503474319,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - late fall Chinook salmon",-0.149276920783422,-0.0444371089272983,-0.00287203652527941,0.0397183840375405,0.149339301697669,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lower Cowlitz River - fall Chinook salmon",-0.108764728504593,-0.032009480309605,0.00404950550383242,0.0422394677670256,0.122009051904339,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",-0.193796588029148,-0.0654054000152338,-0.0182569581573077,0.0208606330541359,0.103678252476638,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"North Fork Lewis River - spring Chinook salmon",-0.122226897609363,-0.0341775672822946,0.00549637329840844,0.0461353020144778,0.179938213355535,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Toutle River - fall Chinook salmon",-0.114494499944601,-0.0318185936086496,0.00578010322803582,0.0427778642043202,0.134454460185557,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Cowlitz River - fall Chinook salmon",-0.171887825168316,-0.060441674215162,-0.0170914534451755,0.0210537549177739,0.0946086025809163,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Cowlitz River - spring Chinook salmon",-0.125487435520219,-0.0362518977802848,0.000742731170796996,0.0376863342893216,0.127599530094435,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Gorge Tributaries - fall Chinook salmon",-0.138133781784573,-0.0478120683897092,-0.00839791979158753,0.0279767695548578,0.111987612597434,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Washougal River - fall Chinook salmon",-0.110711475374092,-0.0261771624513009,0.0117212140598651,0.0538413014387208,0.147913785710947,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - fall Chinook salmon",-0.159113834558589,-0.0593686267426308,-0.0184313005547153,0.0200226453439484,0.0971028526047794,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - spring Chinook salmon",-0.249908127222644,-0.0832016032294756,-0.027814138522375,0.0141515289043435,0.0922129234825569,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Cascade River - spring Chinook salmon",-0.0476780402870154,-0.0108715182369823,0.00570553335778483,0.0223039941234366,0.0633499885938837,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Cedar River - fall Chinook salmon",-0.0528031058799851,-0.012440419539303,0.003568442044496,0.0219621266950475,0.0669018122280096,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Dungeness River - summer Chinook salmon",-0.0386117534049239,-0.0055756494518988,0.0113380139070768,0.0303865874332221,0.079444676303381,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Elwha River - fall Chinook salmon",-0.0377030866934904,-0.00376324950111105,0.0135842587013582,0.035859095845473,0.0929725992806044,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Green River - fall Chinook salmon",-0.0488544666581737,-0.011053480686187,0.00586354343753953,0.0247782267696828,0.0665896798793814,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Sauk River - summer Chinook salmon",-0.0460494506645911,-0.0109008062592943,0.00525422796369988,0.0230507529074303,0.065276380827418,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Skagit River - fall Chinook salmon",-0.0449930862139494,-0.00955118522170048,0.00635551302631651,0.0239177328725642,0.0662735097744347,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Nisqually River - fall Chinook salmon",-0.0414539980107644,-0.00755479256748158,0.0092742667178647,0.0276489674525811,0.0707671727671396,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon",-0.0447275088433795,-0.00918361278815209,0.00692752389969563,0.0249213984614353,0.066396999328828,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Stillaguamish River - summer Chinook salmon",-0.0653157635405989,-0.0172316817828708,0.000834219312046198,0.0186924932220461,0.0589250236563433,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Skokomish River - fall Chinook salmon",-0.0625626700558529,-0.0182747654605148,-0.000378913642936097,0.0172187381297218,0.055596307153347,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Skykomish River - summer Chinook salmon",-0.0505715599819578,-0.0131457924354895,0.00339960591784953,0.0209479955563854,0.0582870914285329,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Snoqualmie River - fall Chinook salmon",-0.0582897514368345,-0.0173333285877201,6.86491246236176e-05,0.0172807509836818,0.055296531713621,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"South Fork Nooksack River - spring Chinook salmon",-0.0594277813940822,-0.0144935679079972,0.00249201999578653,0.0208755120518736,0.0603347287972762,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"South Fork Stillaguamish River - fall Chinook salmon",-0.0784459094181864,-0.0254286143085551,-0.0044824117365222,0.0150263182483433,0.0564635627919468,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Suiattle River - spring Chinook salmon",-0.0371383116377316,-0.00411090163041366,0.0120574104149425,0.0292855371306275,0.070775600015451,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Upper Sauk River - spring Chinook salmon",-0.0295420541884531,0.000447528842017025,0.0184416705278686,0.0392690365561504,0.0920264892325058,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Upper Skagit River - summer Chinook salmon",-0.0461969949421084,-0.0104927392613645,0.00568657045116453,0.0232853294541533,0.0641055282894803,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"White River - spring Chinook salmon",-0.0512664980836771,-0.0134610186158073,0.00296599580833762,0.0203226908385508,0.0602672798764401,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Snake River - fall Chinook salmon",-0.0515812875893287,0.0374307678818577,0.0853141794176948,0.126906650028603,0.213616721048556,"Snake River fall Chinook","Salmon, Chinook (Snake River fall-run ESU)"
"Asotin Creek - spring Chinook salmon",-0.242227603402218,-0.0936440793675165,-0.0221379678334162,0.0493537564919325,0.194962839342226,"Snake River spring and summer Chinook","Salmon, Chinook (Snake River spring/summer-run ESU)"
"Tucannon River - spring Chinook salmon",-0.271399264631877,-0.120809445441237,-0.04841659335074,0.0189300945013209,0.165905384962301,"Snake River spring and summer Chinook","Salmon, Chinook (Snake River spring/summer-run ESU)"
"Entiat River - spring Chinook salmon",-0.106859052276587,0.00999314152772341,0.0716572011802026,0.131278700180185,0.258159422749489,"Upper Columbia spring Chinook","Salmon, Chinook (Upper Columbia River spring-run ESU)"
"Methow River - spring Chinook salmon",-0.117998411869741,0.00984777646291198,0.0715307436642001,0.133143757334943,0.267696868651036,"Upper Columbia spring Chinook","Salmon, Chinook (Upper Columbia River spring-run ESU)"
