"Q2.5.","Q25.","Q50.","Q75.","Q97.5.","COMMON_POPULATION_NAME","ESU"
-0.069936270651471,-0.0285467044211068,-0.00708483202978742,0.0110537152453432,0.0554873553728086,"Coweeman River - winter Steelhead","Lower Columbia steelhead"
-0.0687258612849312,-0.0267228360909146,-0.00585743894493898,0.0131841666751336,0.0611849464382866,"East Fork Lewis River - summer Steelhead","Lower Columbia steelhead"
-0.0722297986512867,-0.0290993858955888,-0.0115119860057735,0.0110394344870874,0.0582819644370451,"East Fork Lewis River - winter Steelhead","Lower Columbia steelhead"
-0.0718014874978178,-0.0275186041622355,-0.00976769743327405,0.013270350940303,0.0620064155078424,"Kalama River - summer Steelhead","Lower Columbia steelhead"
-0.0745656394187996,-0.0298601114300592,-0.00816863490342956,0.0103499111511744,0.0605947871647902,"Kalama River - winter Steelhead","Lower Columbia steelhead"
-0.0767640813028272,-0.0298004934505927,-0.00909691620931042,0.0109713361098683,0.0600739068070062,"Lower Cowlitz River - winter Steelhead","Lower Columbia steelhead"
-0.0746396953551764,-0.0290785411660438,-0.00679457790717833,0.013930982625498,0.0608469494036712,"Lower Gorge Tributaries - winter Steelhead","Lower Columbia steelhead"
-0.071658912426259,-0.0274663074119489,-0.0053446839163984,0.0145524192610576,0.0627835089514066,"North Fork Toutle River - winter Steelhead","Lower Columbia steelhead"
-0.0748797012426093,-0.030573928840232,-0.00967140463250166,0.00903254579788568,0.0578444666439884,"South Fork Toutle River - winter Steelhead","Lower Columbia steelhead"
-0.0735615668129679,-0.0283571615934045,-0.0113612051125933,0.0112370568239193,0.0578301205136617,"Tilton River - winter Steelhead","Lower Columbia steelhead"
-0.0712591475070057,-0.0274942956960031,-0.00693585538558038,0.014568300751719,0.0691103062560306,"Upper Cowlitz River - winter Steelhead","Lower Columbia steelhead"
-0.0807382471209026,-0.0352231906591132,-0.0130477166875389,0.00540720885298667,0.0522022716157089,"Upper Gorge Tributaries - winter Steelhead","Lower Columbia steelhead"
-0.0696465408503877,-0.0272693785283428,-0.00566413179871373,0.012145544118182,0.059811197119683,"Washougal River - summer Steelhead","Lower Columbia steelhead"
-0.0711264356666413,-0.0286007275006819,-0.00693427254718453,0.011407971320947,0.0598815663446672,"Washougal River - winter Steelhead","Lower Columbia steelhead"
-0.0715660050994163,-0.0292459442307066,-0.00726833145358885,0.0105571724979599,0.0574974057045531,"Wind River - summer Steelhead","Lower Columbia steelhead"
