"COMMON_POPULATION_NAME","Q2.5.","Q25.","Q50.","Q75.","Q97.5.","ESU","ESU_DPS"
"Coweeman River - fall Chinook salmon",-0.131946747906853,-0.0465804833412095,-0.0104558793732297,0.0222913504469004,0.0932342761472649,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Elochoman River - fall Chinook salmon",-0.127597023051498,-0.047511303259228,-0.0111017964144821,0.0227723296430249,0.0974667354963556,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - fall Chinook salmon",-0.0937644099968679,-0.024490182654135,0.0100967791405036,0.0459854260245391,0.140106079613796,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Kalama River - spring Chinook salmon",-0.114879092118017,-0.0378864485961984,-0.0047967819400018,0.0291538014484204,0.100677894245529,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - fall Chinook salmon",-0.108986649441201,-0.036192029517108,-0.00111580680853523,0.0323511831409795,0.105180692013142,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lewis River - late fall Chinook salmon",-0.130627714562116,-0.045501947265181,-0.0104236497319463,0.0247762619944989,0.106452734388978,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Lower Cowlitz River - fall Chinook salmon",-0.102219364103004,-0.0321447677399243,0.0031167999565361,0.0358709508225675,0.109069925979066,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Mill, Abernathy, and Germany Creeks - fall Chinook salmon",-0.163363971398533,-0.0544888502357429,-0.0138549691191962,0.0207464838598974,0.100274274715768,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"North Fork Lewis River - spring Chinook salmon",-0.130075509907096,-0.0426270504146504,-0.00408903665278337,0.0326651874566751,0.130800189575708,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Toutle River - fall Chinook salmon",-0.1164836400846,-0.0402287287030605,-0.00700892097102949,0.0270316428694002,0.0985730099618197,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Cowlitz River - fall Chinook salmon",-0.165727593173225,-0.0680881782223697,-0.0254283452172329,0.0109501284483491,0.0755068719514761,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Upper Gorge Tributaries - fall Chinook salmon",-0.135614007982036,-0.0493480143987834,-0.0133926374107097,0.0198658053015604,0.0934642670381684,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Washougal River - fall Chinook salmon",-0.118598834900839,-0.0385671900863719,-0.00168718749308684,0.0316930713825014,0.107612261706938,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - fall Chinook salmon",-0.15243510988198,-0.0604941387214503,-0.0206609761299437,0.0114025917920291,0.0768965241208946,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"White Salmon River - spring Chinook salmon",-0.213174606710472,-0.0767940863658624,-0.0282528535885116,0.00834617359408046,0.0756847854154894,"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)"
"Cascade River - spring Chinook salmon",-0.0327833834444132,0.00747906433557014,0.0272840086861593,0.0485121741297281,0.0940082009692893,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Cedar River - fall Chinook salmon",-0.0447521975094224,0.00155043685968352,0.0228995269075759,0.0461593865753022,0.0904181390582193,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Dungeness River - summer Chinook salmon",-0.0292756593419481,0.0107883114223423,0.0333471552987972,0.056539876424442,0.10832173020315,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Elwha River - fall Chinook salmon",-0.0220508733339522,0.0156414909059063,0.0385395113643591,0.06460591780501,0.130081287057287,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Green River - fall Chinook salmon",-0.0395831711491417,0.0037467700158576,0.0260854437660744,0.0481346072320204,0.0975441524832067,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Sauk River - summer Chinook salmon",-0.0385119814942856,0.00420834845958162,0.0264236468330657,0.0483305975896766,0.0973116828396277,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Lower Skagit River - fall Chinook salmon",-0.0359052548659478,0.00510321782191682,0.0260831467118632,0.0491379551927651,0.0956036824043496,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"Nisqually River - fall Chinook salmon",-0.0309923572171431,0.00871623143775531,0.0290882750107338,0.0514731626867194,0.098893115258826,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon",-0.0338132336261884,0.00710427499007185,0.028761669935325,0.0497709199212123,0.0979112641774823,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
"North Fork Stillaguamish River - summer Chinook salmon",-0.0454139283401637,0.00267392113387385,0.0247129020387431,0.045887569101073,0.0934625820860272,"Puget Sound Chinook","Salmon, Chinook (Puget Sound ESU)"
