ESU_DPS,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,POPFIT,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
"Salmon, Chinook (Puget Sound ESU)",-,Lower Sauk River - summer Chinook salmon,Chinook,-,same,-,2018,378,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,1999,1043,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2000,3262,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2001,2606,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2002,4866,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2003,1161,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2004,3070,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2005,3320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2006,3508,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2007,1053,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2008,2685,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2009,1439,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2010,1017,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2011,820,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2012,3295,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2013,1551,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2014,1785,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2015,2203,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2016,2840,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2017,3786,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Lower Skagit River - fall Chinook salmon,Chinook,-,same,-,2018,1923,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,1999,85,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2000,160,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2001,264,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2002,224,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2003,210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2004,314,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2005,210,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2006,275,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2007,334,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2008,307,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2009,269,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2010,204,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2011,99,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2012,281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2013,100,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2014,91,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2015,401,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,North Fork Nooksack River (including Middle Fork Nooksack River) - spring Chinook salmon,Chinook,-,same,-,2016,187,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2002,1346,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2003,912,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2004,1236,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2005,827,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2006,1182,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2007,1275,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2008,1903,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2009,377,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2010,529,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2011,472,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2012,642,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2013,203,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2014,468,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2015,831,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2016,713,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2017,637,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2018,486,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Puyallup River - fall Chinook salmon,Chinook,-,same,-,2019,289,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,1999,32,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2000,111,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2001,159,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2002,135,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2003,69,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2004,29,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2005,19,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2006,61,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2007,26,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2008,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2009,45,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2010,21,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2011,90,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2012,116,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2013,10,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2014,22,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2015,7,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,South Fork Nooksack River - spring Chinook salmon,Chinook,-,same,-,2016,323,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,1999,208,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2000,360,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2001,688,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2002,265,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2003,353,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2004,495,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2005,518,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2006,375,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2007,108,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2008,203,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2009,273,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2010,263,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2011,215,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2012,460,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2013,620,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2014,460,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2015,478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2016,648,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2017,898,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Suiattle River - spring Chinook salmon,Chinook,-,same,-,2018,645,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,1999,180,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2000,388,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2001,543,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2002,460,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2003,193,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2004,700,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2005,308,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2006,1043,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2007,282,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2008,983,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2009,367,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2010,768,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2011,345,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2012,1826,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2013,1080,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2014,923,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2015,743,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2016,1502,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2017,1630,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Sauk River - spring Chinook salmon,Chinook,-,same,-,2018,1603,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,1999,3586,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2000,13092,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2001,10084,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2002,13815,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2003,7123,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2004,20040,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2005,16608,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2006,16165,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2007,9845,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2008,8441,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2009,5290,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2010,6644,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2011,4480,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2012,9808,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2013,8801,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2014,8308,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2015,10705,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2016,15406,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2017,7792,1,-99,-99,-99,-99,-99,-99,-99,-99
"Salmon, Chinook (Puget Sound ESU)",-,Upper Skagit River - summer Chinook salmon,Chinook,-,same,-,2018,8602,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2007,8,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2008,4,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2009,0,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2010,2,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2011,4,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2012,0,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2013,8,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2014,0,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2015,6,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2016,10,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2017,0,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2018,4,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Cedar River - winter Steelhead,steelhead,-,partial,-,2019,0,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2007,1452,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2008,833,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2009,304,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2010,423,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2011,855,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2012,392,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2013,656,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2014,997,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2015,1622,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2016,2145,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2017,1002,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2018,944,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Green River - winter Steelhead,steelhead,-,same,-,2019,972,1,-99,-99,-99,-99,-99,-99,-99,-99
Steelhead (Puget Sound DPS),-,Puyallup River/Carbon River - winter Steelhead,steelhead,-,partial,-,2007,509,1,-99,-99,-99,-99,-99,-99,-99,-99
