"SASISTOCKNUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","ESU_DPS","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","SPAWNINGYEAR","METHODNUMBER","BESTVALUE","nosaij","nosaijlowerlimit","nosaijupperlimit","nosaijalpha","nosaej","nosaejlowerlimit","nosaejupperlimit","nosaejalpha","phosij","phosijlowerlimit","phosijupperlimit","phosijalpha","phosej","phosejlowerlimit","phosejupperlimit","phosejalpha","tsaij","tsaijlowerlimit","tsaijupperlimit","tsaijalpha","tsaej","tsaejlowerlimit","tsaejupperlimit","tsaejalpha","Age2Prop","Age2PropLowerLimit","Age2PropUpperLimit","Age3Prop","Age3PropLowerLimit","Age3PropUpperLimit","Age4Prop","Age4PropLowerLimit","Age4PropUpperLimit","Age5Prop","Age5PropLowerLimit","Age5PropUpperLimit","Age6Prop","Age6PropLowerLimit","Age6PropUpperLimit","Age7Prop","Age7PropLowerLimit","Age7PropUpperLimit","Age8Prop","Age8PropLowerLimit","Age8PropUpperLimit","Age9Prop","Age9PropLowerLimit","Age9PropUpperLimit","Age10Prop","Age10PropLowerLimit","Age10PropUpperLimit","Age11PlusProp","Age11PlusPropLowerLimit","Age11PlusPropUpperLimit","AgePropAlpha","OTHERDATASOURCES","COMMENTS","DATASTATUS"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,NULL,"North Fork Nooksack River",1994,1,"Yes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",1995,1,"Yes",171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",1996,1,"Yes",209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",1997,1,"Yes",74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",1998,1,"Yes",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",1999,1,"Yes",85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",2000,1,"Yes",160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",2001,1,"Yes",264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",2002,1,"Yes",224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
"1008 ","North Fork Nooksack Chinook (including Middle Fork Nooksack River)","Chinook salmon","Spring","Puget Sound","Salmon, Chinook (Puget Sound ESU)","Puget Sound North East",177,"Salmon, Chinook (Puget Sound ESU) North Fork Nooksack River - spring","North Fork Nooksack River - spring Chinook salmon","Same",NULL,"NOSA","North Fork Nooksack River",2003,1,"Yes",210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Final"
