ESU_DPS,COMMON_POPULATION_NAME,Recovery goal,High productivity recovery goal,Notes
"Salmon, coho (Lower Columbia River ESU)",Cispus River - early and late Coho salmon,NA,,
"Salmon, coho (Lower Columbia River ESU)",Coweeman River - late Coho salmon,1200,,
"Salmon, coho (Lower Columbia River ESU)",East Fork Lewis River - early and late Coho salmon,2000,,
"Salmon, coho (Lower Columbia River ESU)",Elochoman River - late Coho salmon,2400,,
"Salmon, coho (Lower Columbia River ESU)",Grays and Chinook Rivers - late Coho salmon,2400,,
"Salmon, coho (Lower Columbia River ESU)",Kalama River - late Coho salmon,500,,
"Salmon, coho (Lower Columbia River ESU)",Lower Cowlitz River - late Coho salmon,3700,,Goal is 1900 shared with Oregon; assumed WA portion is 950
"Salmon, coho (Lower Columbia River ESU)",Lower Gorge Tributaries - late Coho salmon,950,,
"Salmon, coho (Lower Columbia River ESU)","Mill, Abernathy, and Germany Creeks - late Coho salmon",900,,
"Salmon, coho (Lower Columbia River ESU)",North Fork Lewis River - early and late Coho salmon,500,,
"Salmon, coho (Lower Columbia River ESU)",North Fork Toutle River - early and late Coho salmon,1900,,
"Salmon, coho (Lower Columbia River ESU)",Salmon Creek - late Coho salmon,NA,,
"Salmon, coho (Lower Columbia River ESU)",South Fork Toutle River - early and late Coho salmon,1900,,
"Salmon, coho (Lower Columbia River ESU)",Tilton River - early and late Coho salmon,NA,,"Cispus goal 2000, upper Cowlitz 2000, reported as combined goal for Upper Cowlitz"
"Salmon, coho (Lower Columbia River ESU)",Upper Cowlitz River - early and late Coho salmon,4000,,Goal is 1900 shared with Oregon; assumed WA portion is 950. Some confusion; ESA pop name is Washington Upper Gorge Tribs and White Salmon…where is oregon portion…no separate pop?
"Salmon, coho (Lower Columbia River ESU)",Upper Gorge Tributaries - late Coho salmon,950,,
"Salmon, coho (Lower Columbia River ESU)",Washougal River - late Coho salmon,1300,31250,
"Salmon, sockeye (Ozette Lake ESU)",Ozette Lake - sockeye salmon,121000,,"Cispus goal 500, upper Cowlitz 500, reported as combined goal for Upper Cowlitz"
Steelhead (Lower Columbia River DPS),Cispus River - winter Steelhead,NA,,
Steelhead (Lower Columbia River DPS),Coweeman River - winter Steelhead,500,,
Steelhead (Lower Columbia River DPS),East Fork Lewis River - summer Steelhead,500,,
Steelhead (Lower Columbia River DPS),East Fork Lewis River - winter Steelhead,500,,
Steelhead (Lower Columbia River DPS),Kalama River - summer Steelhead,500,,
Steelhead (Lower Columbia River DPS),Kalama River - winter Steelhead,600,,
Steelhead (Lower Columbia River DPS),Lower Cowlitz River - winter Steelhead,400,,
Steelhead (Lower Columbia River DPS),Lower Gorge Tributaries - winter Steelhead,300,,Extirpated; no goal
Steelhead (Lower Columbia River DPS),North Fork Lewis River - summer Steelhead,NA,,
Steelhead (Lower Columbia River DPS),North Fork Lewis River - winter Steelhead,400,,
Steelhead (Lower Columbia River DPS),North Fork Toutle River - winter Steelhead,600,,
Steelhead (Lower Columbia River DPS),Salmon Creek - winter Steelhead,NA,,
Steelhead (Lower Columbia River DPS),South Fork Toutle River - winter Steelhead,600,,
Steelhead (Lower Columbia River DPS),Tilton River - winter Steelhead,200,,"Cispus goal 500, upper Cowlitz 500, reported as combined goal"
Steelhead (Lower Columbia River DPS),Upper Cowlitz River - winter Steelhead,1000,,Goal is 200 shared with Oregon; assumed WA portion is 100. 
Steelhead (Lower Columbia River DPS),Upper Gorge Tributaries - winter Steelhead,100,,
Steelhead (Lower Columbia River DPS),Washougal River - summer Steelhead,500,,
Steelhead (Lower Columbia River DPS),Washougal River - winter Steelhead,350,,
Steelhead (Lower Columbia River DPS),Wind River - summer Steelhead,1000,,
Steelhead (Middle Columbia River DPS),Klickitat River - summer and winter Steelhead,1000,,
Steelhead (Middle Columbia River DPS),Naches River - summer Steelhead,1500,,
Steelhead (Middle Columbia River DPS),Rock Creek - summer Steelhead,500,,
Steelhead (Middle Columbia River DPS),Satus Creek - summer Steelhead,500,,
Steelhead (Middle Columbia River DPS),Toppenish Creek - summer Steelhead,500,,
Steelhead (Middle Columbia River DPS),Touchet River - summer Steelhead,1000,,
Steelhead (Middle Columbia River DPS),Walla Walla River - summer Steelhead,1000,,
Steelhead (Middle Columbia River DPS),Yakima River Upper Mainstem - summer Steelhead,1500,,
Steelhead (Middle Columbia River DPS),White Salmon River - summer Steelhead,500,1100,
Steelhead (Puget Sound DPS),Baker River - summer and winter Steelhead,3800,100,
Steelhead (Puget Sound DPS),Canyon Creek - summer Steelhead,400,1200,
Steelhead (Puget Sound DPS),Cedar River - winter Steelhead,4000,700,
Steelhead (Puget Sound DPS),Deer Creek - summer Steelhead,2300,1100,
Steelhead (Puget Sound DPS),Drayton Harbor Tributaries - winter Steelhead,3700,1200,
Steelhead (Puget Sound DPS),Dungeness River - summer and winter Steelhead,4100,1800,
Steelhead (Puget Sound DPS),East Hood Canal Tributaries - winter Steelhead,6200,2600,
Steelhead (Puget Sound DPS),East Kitsap Peninsula Tributaries - winter Steelhead,8700,2619,
Steelhead (Puget Sound DPS),Elwha River - winter Steelhead,2619,5600,
Steelhead (Puget Sound DPS),Green River - winter Steelhead,18700,6100,
Steelhead (Puget Sound DPS),Nisqually River - winter Steelhead,20500,NA,Goal for  Skagit/Sauk/Nookachamps
Steelhead (Puget Sound DPS),Nookachamps Creek - winter Steelhead,NA,6500,
Steelhead (Puget Sound DPS),Nooksack River - winter Steelhead,21700,200,
Steelhead (Puget Sound DPS),North Fork Skykomish River - summer Steelhead,500,4800,
Steelhead (Puget Sound DPS),North Lake Washington and Lake Sammamish - winter Steelhead,16000,2500,
Steelhead (Puget Sound DPS),Pilchuck River - winter Steelhead,8200,4500,
Steelhead (Puget Sound DPS),Puyallup River/Carbon River - winter Steelhead,15100,1800,
Steelhead (Puget Sound DPS),Samish River and Bellingham Bay Tributaries - winter Steelhead,6100,NA,Goal for  Skagit/Sauk/Nookachamps
Steelhead (Puget Sound DPS),Sauk River - summer and winter Steelhead,NA,500,
Steelhead (Puget Sound DPS),Sequim/Discovery Bays Tributaries - winter Steelhead,1700,15000,Goal for  Skagit/Sauk/Nookachamps
Steelhead (Puget Sound DPS),Skagit River - summer and winter Steelhead,15000,2200,
Steelhead (Puget Sound DPS),Skokomish River - winter Steelhead,7300,6100,
Steelhead (Puget Sound DPS),Snohomish/Skykomish Rivers - winter Steelhead,20600,3400,
Steelhead (Puget Sound DPS),Snoqualmie River - winter Steelhead,11400,400,
Steelhead (Puget Sound DPS),South Fork Nooksack River - summer Steelhead,1300,2100,
Steelhead (Puget Sound DPS),South Hood Canal Tributaries - winter Steelhead,7100,6300,
Steelhead (Puget Sound DPS),South Puget Sound Tributaries - winter Steelhead,21000,7000,
Steelhead (Puget Sound DPS),Stillaguamish River - winter Steelhead,23400,1000,
Steelhead (Puget Sound DPS),Strait of Juan de Fuca Tributaries - winter Steelhead,3300,300,
Steelhead (Puget Sound DPS),Tolt River - summer Steelhead,1200,2500,
Steelhead (Puget Sound DPS),West Hood Canal Tributaries - winter Steelhead,8400,3600,
Steelhead (Puget Sound DPS),White River - winter Steelhead,12000,,
Steelhead (Snake River Basin DPS),Asotin Creek - summer Steelhead,500,,
Steelhead (Snake River Basin DPS),Joseph Creek - summer Steelhead,1000,,
Steelhead (Snake River Basin DPS),Tucannon River - summer Steelhead,1000,,
Steelhead (Upper Columbia River DPS),Entiat River - summer Steelhead,500,,
Steelhead (Upper Columbia River DPS),Methow River - summer Steelhead,1000,,
Steelhead (Upper Columbia River DPS),Okanogan River - summer Steelhead,500,,
Steelhead (Upper Columbia River DPS),Wenatchee River - summer Steelhead,1000,,
