SASI_STOCK_NUM,SASISTOCKNAME,COMMONNAME,RUN,RECOVERYDOMAIN,MAJORPOPGROUP,POPID,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,ESTIMATETYPE,WATERBODY,SPAWNINGYEAR,METHODNUMBER,BESTVALUE,NOSAIJ,NOSAIJ_SDSID,NOSAIJLOWERLIMIT,NOSAIJUPPERLIMIT,NOSAIJALPHA,NOSAEJ,NOSAEJ_SDSID,NOSAEJLOWERLIMIT,NOSAEJUPPERLIMIT,NOSAEJALPHA,PHOSIJ,PHOSIJLOWERLIMIT,PHOSIJUPPERLIMIT,PHOSIJALPHA,PHOSEJ,PHOSEJLOWERLIMIT,PHOSEJUPPERLIMIT,PHOSEJALPHA,TSAIJ,TSAIJ_SDSID,TSAIJLOWERLIMIT,TSAIJUPPERLIMIT,TSAIJALPHA,TSAEJ,TSAEJ_SDSID,TSAEJLOWERLIMIT,TSAEJUPPERLIMIT,TSAEJALPHA,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PROP,AGE4PROPLOWERLIMIT,AGE4PROPUPPERLIMIT,AGE5PROP,AGE5PROPLOWERLIMIT,AGE5PROPUPPERLIMIT,AGE6PROP,AGE6PROPLOWERLIMIT,AGE6PROPUPPERLIMIT,AGE7PROP,AGE7PROPLOWERLIMIT,AGE7PROPUPPERLIMIT,AGE8PROP,AGE8PROPLOWERLIMIT,AGE8PROPUPPERLIMIT,AGE9PROP,AGE9PROPLOWERLIMIT,AGE9PROPUPPERLIMIT,AGE10PROP,AGE10PROPLOWERLIMIT,AGE10PROPUPPERLIMIT,AGE11PLUSPROP,AGE11PLUSPROPLOWERLIMIT,AGE11PLUSPROPUPPERLIMIT,AGEPROPALPHA,OTHERDATASOURCES,COMMENTS,DATASTATUS,STOCK_ID,COMMONPOPNAME2,ESU_DPS
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2010,,Yes,4553,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4553,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2011,,Yes,25192,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25192,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2012,,Yes,52415,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52415,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2013,,Yes,16156,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16156,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2014,,Yes,22371,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22371,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2015,,Yes,26576,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26576,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2016,,Yes,19439,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19439,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2017,,Yes,18737,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18737,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2018,,Yes,7128,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7128,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
NA,Hood Canal - fall Coho Salmon,Coho salmon,Fall,Puget Sound,,,Puget Sound/Strait of Georgia Coho,Hood Canal - fall Coho Salmon,Same,NA,NOSA,,2019,,Yes,7665,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7665,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final,NA,Hood Canal - fall Coho Salmon,"Salmon, coho (Puget Sound/Strait of Georgia ESU)"
