"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","SASI_STOCK_NUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","METHODNUMBER","BESTVALUE","NOSAIJ","NOSAIJ_SDSID","NOSAIJLOWERLIMIT","NOSAIJUPPERLIMIT","NOSAIJALPHA","NOSAEJ","NOSAEJ_SDSID","NOSAEJLOWERLIMIT","NOSAEJUPPERLIMIT","NOSAEJALPHA","PHOSIJ","PHOSIJLOWERLIMIT","PHOSIJUPPERLIMIT","PHOSIJALPHA","PHOSEJ","PHOSEJLOWERLIMIT","PHOSEJUPPERLIMIT","PHOSEJALPHA","TSAIJ","TSAIJ_SDSID","TSAIJLOWERLIMIT","TSAIJUPPERLIMIT","TSAIJALPHA","TSAEJ","TSAEJ_SDSID","TSAEJLOWERLIMIT","TSAEJUPPERLIMIT","TSAEJALPHA","AGE2PROP","AGE2PROPLOWERLIMIT","AGE2PROPUPPERLIMIT","AGE3PROP","AGE3PROPLOWERLIMIT","AGE3PROPUPPERLIMIT","AGE4PROP","AGE4PROPLOWERLIMIT","AGE4PROPUPPERLIMIT","AGE5PROP","AGE5PROPLOWERLIMIT","AGE5PROPUPPERLIMIT","AGE6PROP","AGE6PROPLOWERLIMIT","AGE6PROPUPPERLIMIT","AGE7PROP","AGE7PROPLOWERLIMIT","AGE7PROPUPPERLIMIT","AGE8PROP","AGE8PROPLOWERLIMIT","AGE8PROPUPPERLIMIT","AGE9PROP","AGE9PROPLOWERLIMIT","AGE9PROPUPPERLIMIT","AGE10PROP","AGE10PROPLOWERLIMIT","AGE10PROPUPPERLIMIT","AGE11PLUSPROP","AGE11PLUSPROPLOWERLIMIT","AGE11PLUSPROPUPPERLIMIT","AGEPROPALPHA","OTHERDATASOURCES","COMMENTS","DATASTATUS","STOCK_ID","ESU_DPS_COMMONNAME","USECA","Notes","final_abundance_data_type","final_abundance","datasource","dsid"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,432,"f8b2489f-ea1a-49dd-a9b6-533244f41749",326,569,0.05,NA,NA,NA,NA,0.292,0.204,0.393,0.05,NA,NA,NA,NA,NA,612,"5f733115-7a97-4981-951c-60ade44de115",478,784,0.05,NA,NA,NA,0.254,0.153,0.374,0.616,0.488,0.737,0.122,0.054,0.223,0,0,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",432,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,590,"f8b2489f-ea1a-49dd-a9b6-533244f41749",511,692,0.05,NA,NA,NA,NA,0.119,0.075,0.176,0.05,NA,NA,NA,NA,NA,671,"5f733115-7a97-4981-951c-60ade44de115",575,795,0.05,NA,NA,NA,0.123,0.091,0.161,0.712,0.634,0.773,0.162,0.104,0.246,0,0,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",590,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,440,"f8b2489f-ea1a-49dd-a9b6-533244f41749",342,585,0.05,NA,NA,NA,NA,0.117,0.065,0.188,0.05,NA,NA,NA,NA,NA,500,"5f733115-7a97-4981-951c-60ade44de115",381,676,0.05,NA,NA,NA,0.57,0.49,0.642,0.266,0.202,0.341,0.162,0.114,0.219,0,0,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",440,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,1609,"f8b2489f-ea1a-49dd-a9b6-533244f41749",811,2900,0.05,NA,NA,NA,NA,0.32,0.283,0.357,0.05,NA,NA,NA,NA,NA,2367,"5f733115-7a97-4981-951c-60ade44de115",1192,4283,0.05,NA,NA,NA,0.005,0.001,0.014,0.274,0.234,0.318,0.716,0.672,0.756,0.004,0.001,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1609,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,796,"f8b2489f-ea1a-49dd-a9b6-533244f41749",701,931,0.05,NA,NA,NA,NA,0.041,0.023,0.067,0.05,NA,NA,NA,NA,NA,831,"5f733115-7a97-4981-951c-60ade44de115",727,978,0.05,NA,NA,NA,0.236,0.201,0.274,0.638,0.595,0.677,0.126,0.1,0.155,0,0,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",796,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,1344,"f8b2489f-ea1a-49dd-a9b6-533244f41749",1278,1446,0.05,NA,NA,NA,NA,0.018,0.008,0.039,0.05,NA,NA,NA,NA,NA,1371,"5f733115-7a97-4981-951c-60ade44de115",1297,1482,0.05,NA,NA,NA,0.275,0.247,0.305,0.617,0.584,0.649,0.106,0.085,0.133,0.001,0,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",1344,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,377,"f8b2489f-ea1a-49dd-a9b6-533244f41749",187,741,0.05,NA,NA,NA,NA,0.023,0.004,0.088,0.05,NA,NA,NA,NA,NA,388,"5f733115-7a97-4981-951c-60ade44de115",193,761,0.05,NA,NA,NA,0.02,0.001,0.107,0.25,0.12,0.421,0.514,0.337,0.687,0.195,0.081,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",377,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,764,"f8b2489f-ea1a-49dd-a9b6-533244f41749",696,843,0.05,NA,NA,NA,NA,0.077,0.05,0.118,0.05,NA,NA,NA,NA,NA,829,"5f733115-7a97-4981-951c-60ade44de115",758,918,0.05,NA,NA,NA,0.227,0.189,0.269,0.697,0.65,0.74,0.074,0.051,0.106,0,0,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",764,"Coordinated_Assessments","f8b2489f-ea1a-49dd-a9b6-533244f41749"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,227,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",206,258,0.05,NA,NA,NA,NA,0.049,0.02,0.104,0.05,NA,NA,NA,NA,NA,239,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",218,273,0.05,NA,NA,NA,0.207,0.153,0.269,0.613,0.543,0.681,0.177,0.126,0.236,0,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",227,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,320,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",273,390,0.05,NA,NA,NA,NA,0.038,0.01,0.108,0.05,NA,NA,NA,NA,NA,334,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",286,407,0.05,NA,NA,NA,0.643,0.56,0.713,0.309,0.242,0.391,0.042,0.019,0.09,0,0,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",320,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,812,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",709,946,0.05,NA,NA,NA,NA,0.044,0.019,0.086,0.05,NA,NA,NA,NA,NA,851,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",746,988,0.05,NA,NA,NA,0.429,0.38,0.481,0.555,0.502,0.605,0.013,0.004,0.037,0,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",812,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2021,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,623,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",548,731,0.05,NA,NA,NA,NA,0.086,0.048,0.139,0.05,NA,NA,NA,NA,NA,683,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",584,828,0.05,NA,NA,NA,0.251,0.208,0.3,0.723,0.672,0.767,0.024,0.011,0.046,0,0,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",623,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2022,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,447,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",402,510,0.05,NA,NA,NA,NA,0.104,0.051,0.188,0.05,NA,NA,NA,NA,NA,500,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",439,594,0.05,NA,NA,NA,0.194,0.148,0.257,0.719,0.651,0.775,0.082,0.053,0.131,0,0,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",447,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2023,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,470,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",394,580,0.05,NA,NA,NA,NA,0.063,0.025,0.138,0.05,NA,NA,NA,NA,NA,504,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",419,635,0.05,NA,NA,NA,0.285,0.222,0.364,0.589,0.498,0.667,0.116,0.069,0.207,0,0,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",470,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2024,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,396,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",374,432,0.05,NA,NA,NA,NA,0.039,0.015,0.093,0.05,NA,NA,NA,NA,NA,414,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",386,461,0.05,NA,NA,NA,0.133,0.097,0.179,0.794,0.739,0.839,0.067,0.042,0.104,0.003,0,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",396,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2025,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,NA,439,"7c99a493-5bde-4b93-8f3e-9a44a4dddbb3",376,544,0.05,NA,NA,NA,NA,0.037,0.016,0.074,0.05,NA,NA,NA,NA,NA,457,"573c2d03-29cf-4c2b-b0fe-6fa60f3755e4",388,572,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reported abundance estimates are all Medians except for Limits","Final","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",439,"Coordinated_Assessments","7c99a493-5bde-4b93-8f3e-9a44a4dddbb3"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2009,"1508","Elochoman-Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA","Elochoman River\Skamokawa Creek",1,"Yes",NA,NA,NA,NA,NA,252,"b2caabf4-5a11-4492-9f16-bd15012dfc56",206,330,0.05,NA,NA,NA,NA,0.809,0.74,0.844,0.05,NA,NA,NA,NA,NA,1305,"1456b8e5-c1ac-47b7-a956-1000e86be8fc",1236,1420,0.05,NA,NA,NA,0.009,0,0.14,0.965,0.83,1,0.008,0,0.085,0,0,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,"Reported abundance estimates are all Medians except for Limits","Final","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",252,"Coordinated_Assessments","b2caabf4-5a11-4492-9f16-bd15012dfc56"
