"ESU","ESU_DPS","COMMON_POPULATION_NAME","BROOD_YEAR","Smoothed.Abundance"
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",1999,540.0276408887
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2000,534.172413206015
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2001,527.454666344361
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2002,523.210343521277
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2003,518.796836999817
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2004,516.782501143499
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2005,515.784999410858
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2006,501.63661179471
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2007,490.702982903126
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2008,530.915015383998
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2009,560.667048797528
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,488.586888574052
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,558.792143215483
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,491.953372079137
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,1196.83987919175
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,876.812403946279
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,1012.07294942195
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,543.419813951621
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,565.96081882852
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,280.741947798157
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,354.096742107928
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,710.234783710039
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2021,572.172667535241
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2022,472.980612853426
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2023,466.050323558839
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2024,428.22144771132
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2025,443.173199360007
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2026,437.270318602998
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",1999,219.549956632124
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2000,215.853325881068
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2001,212.951048419465
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2002,205.788820490469
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2003,209.40445573177
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2004,205.469862627208
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2005,199.831140019162
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2006,185.165967611488
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2007,179.140913454947
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2008,189.637384899726
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2009,199.209825935154
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2010,114.977699075239
