"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2015,412,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2016,907,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2017,1006,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2018,1189,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2019,1853,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2020,1982,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2021,1747,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2022,1065,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2023,1559,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Elochoman River - late Coho salmon","Coho salmon","Late","Elochoman/Skamokawa",2024,1975,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2010,495,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2011,339,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2012,471,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2013,795,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2014,2705,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2015,341,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2016,674,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2017,459,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2018,468,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2019,800,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2020,1007,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2021,1141,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2022,990,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2023,923,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Grays and Chinook Rivers - late Coho salmon","Coho salmon","Late","Grays River",2024,1170,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2010,72,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2011,39,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2012,40,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2013,50,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2014,139,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2015,27,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2016,64,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2017,57,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2018,74,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2019,124,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2020,228,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2021,207,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2022,209,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2023,199,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Kalama River - late Coho salmon","Coho salmon","Late","Kalama River",2024,186,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2010,7002,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2011,5254,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2012,4872,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2013,6192,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2014,25766,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2015,2623,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2016,4634,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2017,2957,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2018,2913,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2019,3331,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2020,4902,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2021,5981,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2022,4705,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2023,6180,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","Lower Cowlitz River - late Coho salmon","Coho salmon","Late (Type N)","Lower Cowlitz River",2024,11304,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2010,605,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2011,478,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2012,546,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2013,712,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2014,1992,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2015,385,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2016,787,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2017,566,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2018,617,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2019,1149,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2020,1172,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2021,1343,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2022,1294,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2023,983,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Gorge","Lower Gorge Tributaries - late Coho salmon","Coho salmon","Early (Type S)","Lower Gorge Tributaries",2024,1427,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2010,1094,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2011,647,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2012,713,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2013,935,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2014,3281,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2015,783,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2016,1377,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2017,1039,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2018,1154,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2019,1794,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2020,1843,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2021,1789,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2022,2424,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2023,2820,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Coastal","Mill, Abernathy, and Germany Creeks - late Coho salmon","Coho salmon","Late","Mill/Abernathy/Germany",2024,4067,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2010,2221,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2011,1422,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2012,1555,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2013,1396,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2014,10564,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2015,1060,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2016,3651,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia coho","Cascade","North Fork Lewis River - early and late Coho salmon","Coho salmon","Both early & late","North Fork Lewis River",2017,4655,1,-99,-99,-99,-99,-99,-99,-99,-99
