"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","SASI_STOCK_NUM","SASISTOCKNAME","COMMONNAME","RUN","RECOVERYDOMAIN","MAJORPOPGROUP","POPID","ESAPOPNAME","COMMONPOPNAME","POPFIT","POPFITNOTES","ESTIMATETYPE","WATERBODY","METHODNUMBER","BESTVALUE","NOSAIJ","NOSAIJLOWERLIMIT","NOSAIJUPPERLIMIT","NOSAIJALPHA","NOSAEJ","NOSAEJLOWERLIMIT","NOSAEJUPPERLIMIT","NOSAEJALPHA","PHOSIJ","PHOSIJLOWERLIMIT","PHOSIJUPPERLIMIT","PHOSIJALPHA","PHOSEJ","PHOSEJLOWERLIMIT","PHOSEJUPPERLIMIT","PHOSEJALPHA","TSAIJ","TSAIJLOWERLIMIT","TSAIJUPPERLIMIT","TSAIJALPHA","TSAEJ","TSAEJLOWERLIMIT","TSAEJUPPERLIMIT","TSAEJALPHA","AGE2PROP","AGE2PROPLOWERLIMIT","AGE2PROPUPPERLIMIT","AGE3PROP","AGE3PROPLOWERLIMIT","AGE3PROPUPPERLIMIT","AGE4PROP","AGE4PROPLOWERLIMIT","AGE4PROPUPPERLIMIT","AGE5PROP","AGE5PROPLOWERLIMIT","AGE5PROPUPPERLIMIT","AGE6PROP","AGE6PROPLOWERLIMIT","AGE6PROPUPPERLIMIT","AGE7PROP","AGE7PROPLOWERLIMIT","AGE7PROPUPPERLIMIT","AGE8PROP","AGE8PROPLOWERLIMIT","AGE8PROPUPPERLIMIT","AGE9PROP","AGE9PROPLOWERLIMIT","AGE9PROPUPPERLIMIT","AGE10PROP","AGE10PROPLOWERLIMIT","AGE10PROPUPPERLIMIT","AGE11PLUSPROP","AGE11PLUSPROPLOWERLIMIT","AGE11PLUSPROPUPPERLIMIT","AGEPROPALPHA","OTHERDATASOURCES","COMMENTS","DATASTATUS","STOCK_ID","ESU_DPS_COMMONNAME","USECA","Notes","final_abundance_data_type","final_abundance","datasource"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,744,607,921,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,677,984,0.05,NA,NA,NA,0.425,0.374,0.476,0.559,0.507,0.611,0.015,0.004,0.039,0.001,0,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",744,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2021,"1560","Coweeman Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Cascade",213,"Salmon, Chinook (Lower Columbia River ESU) Coweeman River - fall","Coweeman Fall (Tule) Chinook","Same",NA,"NOSA","Coweeman River",1,"Yes",NA,NA,NA,NA,607,521,694,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,603,756,0.05,NA,NA,NA,0.215,0.02,0.597,0.644,0.266,0.925,0.116,0.002,0.442,0.025,0,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","94DDF44D-14F5-47A1-98CE-59256BFA0FBE","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",607,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2010,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,136,90,188,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,1063,1521,0.05,NA,NA,NA,0.562,0.292,0.876,0.343,0.146,0.613,0.088,0.007,0.234,0.007,0,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",136,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2011,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,63,32,93,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,937,1295,0.05,NA,NA,NA,0.254,0.032,0.619,0.651,0.238,1,0.079,0,0.27,0.016,0,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",63,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2012,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,62,32,111,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,149,290,0.05,NA,NA,NA,0.419,0.161,0.839,0.548,0.258,1,0.032,0,0.113,0,0,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",62,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2013,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,80,37,156,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,295,689,0.05,NA,NA,NA,0.38,0.139,0.861,0.57,0.241,1,0.038,0,0.152,0.013,0,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",80,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2014,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,147,104,192,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,504,975,0.05,NA,NA,NA,0.418,0.253,0.61,0.561,0.39,0.753,0.021,0,0.068,0,0,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",147,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2015,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,230,173,299,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989,715,1459,0.05,NA,NA,NA,0.739,0.557,0.97,0.204,0.061,0.357,0.052,0.022,0.1,0.004,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",230,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2016,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,91,53,141,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,263,530,0.05,NA,NA,NA,0.367,0.189,0.644,0.544,0.289,0.933,0.078,0.011,0.2,0.011,0,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",91,"Coordinated_Assessments"
"Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2017,"1508","Elochoman/Skamokawa Fall (Tule) Chinook","Chinook salmon","Fall","Willamette/Lower Columbia","Coastal",233,"Salmon, Chinook (Lower Columbia River ESU) Elochoman River - fall","Elochoman/Skamokawa Fall (Tule) Chinook","Same",NA,"NOSA",NA,1,"Yes",NA,NA,NA,NA,77,52,108,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,79,175,0.05,NA,NA,NA,0.547,0.36,0.8,0.427,0.253,0.707,0.027,0,0.12,0,0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"",NA,"Draft","0DA83B8A-2076-42F6-9588-8EE90044C782","Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)",NA,"NOSAEJ",77,"Coordinated_Assessments"
