"ESU","MAJOR_POPULATION_GROUP","COMMON_POPULATION_NAME","SPECIES","RUN_TIMING","STREAM_NAME","BROOD_YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","AGE_1_RETURNS","AGE_2_RETURNS","AGE_3_RETURNS","AGE_4_RETURNS","AGE_5_RETURNS","AGE_6_RETURNS","AGE_7_RETURNS"
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2019,344,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2020,203,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2021,168,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2010,593,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2011,428,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2012,288,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2013,812,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2014,764,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2015,2889,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2016,2539,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2017,1732,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2018,1643,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2019,1474,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2020,3219,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2021,1971,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2007,37,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2008,59,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2009,80,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2010,46,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2011,172,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2012,81,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2013,107,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2014,55,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2015,31,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2016,28,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2017,60,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2018,57,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2019,52,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2020,73,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2021,85,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2010,1583,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2011,1672,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2012,1320,1,-99,-99,-99,-99,-99,-99,-99,-99
"Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2015,3466,1,-99,-99,-99,-99,-99,-99,-99,-99
