"ESU","ESU_DPS","COMMON_POPULATION_NAME","BROOD_YEAR","Smoothed.Abundance"
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",1999,491.456334403218
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2000,492.741217443885
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2001,503.029953453393
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2002,507.038377323759
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2003,506.529611373482
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2004,519.069644956785
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2005,511.275363671345
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2006,515.227610894127
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2007,521.952765318381
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2008,524.605485606571
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2009,517.676115431035
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2010,513.574536091144
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2011,584.345401537665
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2012,558.876522608703
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2013,1020.63715729106
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2014,842.534623723767
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2015,944.922328527668
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2016,595.12197897296
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2017,533.92328901891
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2018,308.508443360214
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2019,345.593249514079
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2020,600.610603228909
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2021,602.882697913294
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Coweeman River - fall Chinook salmon",2022,605.395542298284
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",1999,123.131728645582
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2000,121.635906862519
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2001,121.642575970858
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2002,120.512341712206
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2003,115.327187436295
"Lower Columbia Chinook","Salmon, Chinook (Lower Columbia River ESU)","Elochoman River - fall Chinook salmon",2004,115.17980048831
